,0,1
0,VLASS2.1.sb38536469.eb38590168.59084.87988079861,
1,VLASS2.1.sb38611939.eb38656872.59108.99831386574,
2,VLASS2.1.sb38483282.eb38504007.59045.97679461805,
3,VLASS2.2.sb40596977.eb40729013.59502.66564846065,
4,VLASS2.1.sb38537053.eb38580096.59080.031941134264,
5,VLASS2.2.sb40878034.eb40965466.59533.56291280093,
6,VLASS2.1.sb38618574.eb38632962.59098.03251238426,
7,VLASS2.1.sb38667356.eb38705720.59131.46099141204,
8,VLASS2.2.sb40492002.eb40974915.59538.211577905095,
9,VLASS2.2.sb40448756.eb40965402.59532.47423184028,VLASS2.2.sb41026955.eb41063444.59572.434632222226
10,VLASS2.1.sb38483282.eb38504007.59045.97679461805,
11,VLASS2.2.sb40592521.eb40626426.59497.65618173611,
12,VLASS2.2.sb40448756.eb40965402.59532.47423184028,
13,VLASS2.2.sb40525912.eb40962423.59529.26309113426,
14,VLASS2.2.sb40888787.eb40985494.59545.33040479167,
15,VLASS2.2.sb40492002.eb40974915.59538.211577905095,
16,VLASS2.2.sb40490414.eb40974925.59539.17081951389,
17,VLASS2.2.sb40484153.eb40484738.59489.052202673614,
18,VLASS2.2.sb40878034.eb40965466.59533.56291280093,
19,VLASS2.1.sb38532242.eb38565232.59071.48960461805,
20,VLASS2.1.sb38609051.eb38659592.59110.93759270833,VLASS2.1.sb38611351.eb38659848.59112.96043939815
21,VLASS2.2.sb40566705.eb40773292.59506.62136980324,
22,VLASS2.2.sb40490414.eb40974925.59539.17081951389,VLASS2.2.sb40492002.eb40974915.59538.211577905095
23,VLASS2.1.sb38490392.eb38577577.59079.6066271412,
24,VLASS2.1.sb38607339.eb38658209.59109.972473263886,
25,VLASS2.2.sb40562686.eb40976780.59540.13729255787,VLASS2.1.sb38520431.eb38554942.59063.924480127316
26,VLASS2.2.sb40592521.eb40626426.59497.65618173611,
27,VLASS2.1.sb38529434.eb38589592.59082.86913579861,
28,VLASS2.1.sb38539165.eb38696919.59128.74249967592,
29,VLASS2.1.sb38520431.eb38554942.59063.924480127316,
30,VLASS2.2.sb40492002.eb40974915.59538.211577905095,
31,VLASS2.1.sb38490392.eb38577577.59079.6066271412,
32,VLASS2.2.sb40482436.eb40487145.59491.659991134264,
33,VLASS2.2.sb40455377.eb40967190.59535.24555774305,
34,VLASS2.2.sb40492002.eb40974915.59538.211577905095,
35,VLASS2.2.sb40877453.eb40987515.59548.467770902775,
36,VLASS2.2.sb40455377.eb40967190.59535.24555774305,
37,VLASS2.1.sb38501480.eb38632936.59097.386918425924,
